id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,11096,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000,19706431,19706431,False,,1,,,,2024-06-01T15:26:00.000Z,67711.9232375768,17478298135.4351,-38.2813,-0.03089598,0.51762976,-2.08041158,14.11703134,2.74279713,8.80924062,1334360343158.6,52.6547,1421950387989.11,,2024-06-01T15:26:00.000Z,,,,,,2024-06-01 17:29:25.912265
1027,Ethereum,ETH,ethereum,9018,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120142090.733303,120142090.733303,True,,2,,,,2024-06-01T15:25:00.000Z,3806.85277164826,11152172057.3057,-25.7736,0.11991459,1.04909371,1.57448267,26.90540955,15.50672034,11.0214761,457363251099.694,18.052,457363251099.69,,2024-06-01T15:25:00.000Z,,,,,,2024-06-01 17:29:25.912265
825,Tether USDt,USDT,tether,87491,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112141340734.728,115086550406.949,True,,3,,,,2024-06-01T15:25:00.000Z,0.999142603653216,42823519461.8438,-28.4862,0.01282979,-0.00277843,-0.08081934,-0.09270636,-0.09574072,-0.13026313,112045191158.858,4.4224,114987875619.07,,2024-06-01T15:25:00.000Z,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-06-01 17:29:25.912265
1839,BNB,BNB,bnb,2173,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147585277.028267,147585277.028267,False,,4,,,,2024-06-01T15:25:00.000Z,597.403708507766,1475701100.33648,-7.965,0.15146928,0.74702357,-0.88279047,5.71059842,7.1287001,44.2907123,88167991817.8326,3.48,88167991817.83,,2024-06-01T15:25:00.000Z,,,,,,2024-06-01 17:29:25.912265
5426,Solana,SOL,solana,669,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,459698026.622123,577256889.534964,True,,5,,,,2024-06-01T15:25:00.000Z,167.507438935386,1496946281.92584,-43.1035,0.13157364,1.02443235,-0.60552244,19.87227302,-7.789358,29.6891161,77002839123.1228,3.0393,96694823173.81,,2024-06-01T15:25:00.000Z,,,,,,2024-06-01 17:29:25.912265
3408,USDC,USDC,usd-coin,19520,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,32368833685.3099,32368833685.3099,False,,6,,,,2024-06-01T15:25:00.000Z,1.00022294639299,4159817098.20745,-32.8365,0.01312637,0.01435991,0.01802717,0.01437005,0.01854437,0.03787023,32376050200.0254,1.2779,32376050200.03,,2024-06-01T15:25:00.000Z,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-06-01 17:29:25.912265
52,XRP,XRP,xrp,1333,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000,55450358947,99987572899,False,,7,,,,2024-06-01T15:26:00.000Z,0.520815532602451,707848101.068618,-42.1003,-0.05713069,-0.0338031,-3.86836214,-0.11547758,-11.78707809,-16.36778732,28879408227.9789,1.1399,52081553260.25,,2024-06-01T15:26:00.000Z,,,,,,2024-06-01 17:29:25.912265
74,Dogecoin,DOGE,dogecoin,975,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144530506383.705,144530506383.705,True,,8,,,,2024-06-01T15:26:00.000Z,0.160514833591105,706069348.52368,-34.4427,-0.2472433,0.99010181,-4.69421144,20.10934257,-14.07694406,15.19927133,23199290181.0186,0.9157,23199290181.02,,2024-06-01T15:26:00.000Z,,,,,,2024-06-01 17:29:25.912265
2010,Cardano,ADA,cardano,1189,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000,35700460169.947,36925434173.444,False,,9,,,,2024-06-01T15:25:00.000Z,0.449583061329664,207712400.412508,-29.3576,-0.02405294,-0.23141596,-2.44811646,-2.21518146,-23.65256746,-38.03709513,16050322174.0825,0.6335,20231237759.83,,2024-06-01T15:25:00.000Z,,,,,,2024-06-01 17:29:25.912265
11419,Toncoin,TON,toncoin,382,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2412328696.04458,5107159891.96229,True,,10,3414166606,21501879738.4542,,2024-06-01T15:25:00.000Z,6.29784138262823,129753301.91222,-9.1796,-0.11836245,-1.59719069,-2.31268899,25.92978163,25.23962363,137.71725519,15192463490.4511,0.5996,32164082915.3,,2024-06-01T15:25:00.000Z,,,,,,2024-06-01 17:29:25.912265
